team,ranking,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches,season
Tottenham Hotspur,6,21,11,55,66,4,588,192,12,6,5,2,45,10,4,64,14,51,106,81,560,750,4,974,585,3,5,3,17933,41,2121,2596,849,230,26241,64,3,598,1,41,38,2013-2014
Manchester United,7,19,12,64,66,3,526,183,16,10,5,5,53,11,1,97,13,43,103,108,595,676,4,1382,856,1,4,3,18894,61,2077,2898,1000,216,27367,38,1,491,0,32,14,2013-2014
Chelsea,1,26,3,73,73,4,564,210,15,10,4,1,66,7,1,75,17,32,90,102,376,759,2,1027,611,1,3,3,20268,73,2276,3259,682,226,27861,40,2,476,0,73,13,2014-2015
Manchester City,2,24,7,83,77,2,670,229,18,5,7,3,68,15,9,78,14,38,93,98,569,751,1,872,498,3,4,3,22107,115,1937,3140,795,277,29652,42,1,546,1,52,31,2014-2015
Arsenal,3,22,7,71,68,2,610,227,13,10,6,3,62,9,2,64,13,36,96,106,762,739,3,1006,565,1,3,3,20527,202,1749,2793,866,254,29045,51,2,476,0,76,13,2014-2015
Manchester United,4,20,8,62,64,5,512,180,11,12,3,2,55,7,2,87,11,37,100,96,679,739,4,1118,638,1,4,3,21311,89,2969,3457,908,214,29044,43,5,393,1,33,7,2014-2015
Tottenham Hotspur,5,19,12,58,79,4,527,171,11,8,3,4,47,11,2,77,9,53,119,117,674,815,6,1047,636,2,7,5,19322,69,2357,2604,742,224,27495,39,1,552,1,51,28,2014-2015
Liverpool,6,18,12,52,66,3,590,192,12,5,5,1,44,8,2,75,14,48,93,105,442,798,9,1175,628,2,3,1,19374,103,2151,2787,638,198,27353,34,3,468,2,38,41,2014-2015
Arsenal,2,20,7,65,40,4,571,211,21,13,1,1,61,4,3,86,18,36,118,128,734,709,4,849,418,3,1,1,21249,168,1859,2946,754,227,29337,69,3,511,0,45,20,2015-2016
Manchester City,3,19,10,71,61,0,615,210,15,13,5,0,57,14,5,63,16,41,86,66,630,729,3,940,513,1,1,1,20488,84,2082,2895,866,257,28396,50,2,556,0,38,41,2015-2016
Manchester United,4,19,10,49,65,1,430,144,9,5,3,1,44,5,2,75,18,35,90,96,594,760,4,755,373,2,2,2,20070,43,2649,3221,786,228,27542,28,4,522,0,29,13,2015-2016
Tottenham Hotspur,5,19,6,69,72,0,659,252,19,7,5,2,59,10,3,72,13,35,89,140,645,805,1,1046,576,3,2,2,18649,64,2554,2708,738,254,27014,47,2,581,0,38,27,2015-2016
Liverpool,7,16,10,63,61,3,629,202,16,12,2,1,48,15,1,91,11,50,81,108,549,871,4,871,407,1,3,2,19733,75,2370,2842,780,265,27890,36,2,560,1,41,18,2015-2016
Chelsea,10,12,12,59,58,5,526,173,4,6,4,4,48,11,1,90,9,53,122,136,518,790,2,790,398,2,4,3,19664,74,2312,2933,732,240,27362,33,4,413,1,54,27,2015-2016
Chelsea,1,30,5,85,72,0,580,204,17,8,2,3,73,12,7,64,16,33,69,78,510,652,0,839,500,1,2,2,20125,103,2399,2967,688,218,27658,32,3,436,0,38,18,2016-2017
Tottenham Hotspur,2,26,4,86,62,0,669,257,22,10,7,0,74,12,3,74,17,26,85,99,314,661,1,1003,526,1,2,2,20150,45,2662,3130,761,273,28150,41,1,484,0,21,11,2016-2017
Arsenal,3,23,9,77,68,3,566,201,17,17,4,2,70,7,2,95,13,44,124,95,536,673,5,838,484,1,10,10,21394,129,1979,2835,697,227,28931,41,1,465,0,36,10,2016-2017
Manchester City,4,23,6,80,71,4,633,216,20,8,7,2,73,7,6,89,12,39,64,66,504,643,0,905,544,1,5,2,22706,124,1997,3534,801,280,30363,48,4,465,2,26,20,2016-2017
Liverpool,5,22,6,78,54,0,640,236,18,12,7,3,65,13,3,77,12,42,73,65,410,719,2,877,451,0,5,3,22290,57,2565,3291,812,249,30071,35,0,472,2,36,26,2016-2017
Manchester United,6,18,5,54,78,2,591,210,19,9,3,1,47,7,5,99,17,29,85,99,584,690,4,1112,580,1,5,4,20245,99,2424,3177,848,217,28119,50,1,389,1,32,4,2016-2017
Manchester City,1,32,2,106,59,2,665,265,23,12,6,1,93,13,4,67,18,27,62,53,346,563,3,588,308,2,2,0,28241,118,1775,4546,691,284,35130,63,4,406,2,21,15,2017-2018
Manchester United,2,25,7,68,64,1,512,178,16,12,1,2,56,13,4,88,19,28,118,112,481,564,0,853,436,2,1,1,20064,85,2308,2878,753,220,27525,42,4,399,0,20,6,2017-2018
Tottenham Hotspur,3,23,7,74,50,2,623,216,13,11,2,1,64,11,8,88,16,36,93,74,380,618,3,825,422,1,3,2,21660,83,2447,3176,825,246,29412,50,1,460,0,20,21,2017-2018
Chelsea,4,21,10,62,42,4,606,220,11,17,3,2,52,10,1,108,16,38,83,107,423,636,1,768,419,2,2,2,21264,70,2140,3019,755,230,28728,48,3,415,0,27,12,2017-2018
Liverpool,5,21,5,84,44,1,638,233,16,12,2,2,75,9,9,70,17,38,67,71,379,637,4,736,362,0,6,4,22962,106,2370,3313,764,230,30324,61,2,447,2,25,20,2017-2018
Arsenal,6,19,13,74,57,2,594,234,17,13,4,1,68,7,0,89,13,51,100,104,427,623,5,829,449,0,6,5,23524,117,1994,3089,572,225,30635,57,5,412,1,39,24,2017-2018
